Sales Person        Sale Amount($)
Dave			250.00
John			200.00
Bill			150.00
Dave			100.00
John			300.00
Jane			200.00
Sue			50.00
John			250.00
Bill			50.00
Sue			250.00
Sue			150.00
John			150.00
Mary			150.00
Jane			100.00
Jane			300.00
Bill			300.00
Bill			300.00
Dave			200.00
Jane			150.00
Bill			200.00
Sue			200.00
Sue			200.00
John			50.00
Sue			100.00
Mary			50.00
Dave			50.00
John			200.00
John			250.00
Jane			300.00
John			50.00
Bill			150.00
Sue			50.00
Bill			100.00
John			250.00
John			150.00
Dave			50.00
Sue			250.00
Sue			250.00
Mary			150.00
Jane			250.00
Dave			200.00
Mary			150.00
Sue			150.00
Dave			300.00
Mary			50.00
John			300.00
John			100.00
John			250.00
Sue			250.00
Dave			100.00
John			50.00
Mary			250.00
Jane			250.00
Jane			150.00
Bill			100.00
Sue			300.00
Sue			250.00
Sue			250.00
Jane			250.00
Mary			300.00
Dave			150.00
Jane			250.00
Dave			150.00
Sue			200.00
Bill			250.00
Jane			200.00
Jane			100.00
Mary			200.00
Sue			100.00
John			250.00
John			200.00
John			200.00
Dave			300.00
Sue			100.00
Jane			200.00
Dave			300.00
Sue			50.00
Bill			50.00
Bill			50.00
Dave			250.00
Jane			150.00
John			200.00
Sue			100.00
Dave			100.00
Mary			250.00
Mary			250.00
John			200.00
Mary			300.00
Jane			200.00
Bill			50.00
Sue			100.00
Sue			300.00
Jane			50.00
Dave			100.00
Mary			50.00
John			300.00
Jane			150.00
Dave			50.00
Bill			300.00
Jane			300.00
